date,value,retrieved_at
1871-01-01,4.44,2026-08-09T06:39:58.075864+00:00
1871-02-01,4.5,2026-08-09T06:39:58.075864+00:00
1871-03-01,4.61,2026-08-09T06:39:58.075864+00:00
1871-04-01,4.74,2026-08-09T06:39:58.075864+00:00
1871-05-01,4.86,2026-08-09T06:39:58.075864+00:00
1871-06-01,4.82,2026-08-09T06:39:58.075864+00:00
1871-07-01,4.73,2026-08-09T06:39:58.075864+00:00
1871-08-01,4.79,2026-08-09T06:39:58.075864+00:00
1871-09-01,4.84,2026-08-09T06:39:58.075864+00:00
1871-10-01,4.59,2026-08-09T06:39:58.075864+00:00
1871-11-01,4.64,2026-08-09T06:39:58.075864+00:00
1871-12-01,4.74,2026-08-09T06:39:58.075864+00:00
1872-01-01,4.86,2026-08-09T06:39:58.075864+00:00
1872-02-01,4.88,2026-08-09T06:39:58.075864+00:00
1872-03-01,5.04,2026-08-09T06:39:58.075864+00:00
1872-04-01,5.18,2026-08-09T06:39:58.075864+00:00
1872-05-01,5.18,2026-08-09T06:39:58.075864+00:00
1872-06-01,5.13,2026-08-09T06:39:58.075864+00:00
1872-07-01,5.1,2026-08-09T06:39:58.075864+00:00
1872-08-01,5.04,2026-08-09T06:39:58.075864+00:00
1872-09-01,4.95,2026-08-09T06:39:58.075864+00:00
1872-10-01,4.97,2026-08-09T06:39:58.075864+00:00
1872-11-01,4.95,2026-08-09T06:39:58.075864+00:00
1872-12-01,5.07,2026-08-09T06:39:58.075864+00:00
1873-01-01,5.11,2026-08-09T06:39:58.075864+00:00
1873-02-01,5.15,2026-08-09T06:39:58.075864+00:00
1873-03-01,5.11,2026-08-09T06:39:58.075864+00:00
1873-04-01,5.04,2026-08-09T06:39:58.075864+00:00
1873-05-01,5.05,2026-08-09T06:39:58.075864+00:00
1873-06-01,4.98,2026-08-09T06:39:58.075864+00:00
1873-07-01,4.97,2026-08-09T06:39:58.075864+00:00
1873-08-01,4.97,2026-08-09T06:39:58.075864+00:00
1873-09-01,4.59,2026-08-09T06:39:58.075864+00:00
1873-10-01,4.19,2026-08-09T06:39:58.075864+00:00
1873-11-01,4.04,2026-08-09T06:39:58.075864+00:00
1873-12-01,4.42,2026-08-09T06:39:58.075864+00:00
1874-01-01,4.66,2026-08-09T06:39:58.075864+00:00
1874-02-01,4.8,2026-08-09T06:39:58.075864+00:00
1874-03-01,4.73,2026-08-09T06:39:58.075864+00:00
1874-04-01,4.6,2026-08-09T06:39:58.075864+00:00
1874-05-01,4.48,2026-08-09T06:39:58.075864+00:00
1874-06-01,4.46,2026-08-09T06:39:58.075864+00:00
1874-07-01,4.46,2026-08-09T06:39:58.075864+00:00
1874-08-01,4.47,2026-08-09T06:39:58.075864+00:00
1874-09-01,4.54,2026-08-09T06:39:58.075864+00:00
1874-10-01,4.53,2026-08-09T06:39:58.075864+00:00
1874-11-01,4.57,2026-08-09T06:39:58.075864+00:00
1874-12-01,4.54,2026-08-09T06:39:58.075864+00:00
1875-01-01,4.54,2026-08-09T06:39:58.075864+00:00
1875-02-01,4.53,2026-08-09T06:39:58.075864+00:00
1875-03-01,4.59,2026-08-09T06:39:58.075864+00:00
1875-04-01,4.65,2026-08-09T06:39:58.075864+00:00
1875-05-01,4.47,2026-08-09T06:39:58.075864+00:00
1875-06-01,4.38,2026-08-09T06:39:58.075864+00:00
1875-07-01,4.39,2026-08-09T06:39:58.075864+00:00
1875-08-01,4.41,2026-08-09T06:39:58.075864+00:00
1875-09-01,4.37,2026-08-09T06:39:58.075864+00:00
1875-10-01,4.3,2026-08-09T06:39:58.075864+00:00
1875-11-01,4.37,2026-08-09T06:39:58.075864+00:00
1875-12-01,4.37,2026-08-09T06:39:58.075864+00:00
1876-01-01,4.46,2026-08-09T06:39:58.075864+00:00
1876-02-01,4.52,2026-08-09T06:39:58.075864+00:00
1876-03-01,4.51,2026-08-09T06:39:58.075864+00:00
1876-04-01,4.34,2026-08-09T06:39:58.075864+00:00
1876-05-01,4.18,2026-08-09T06:39:58.075864+00:00
1876-06-01,4.15,2026-08-09T06:39:58.075864+00:00
1876-07-01,4.1,2026-08-09T06:39:58.075864+00:00
1876-08-01,3.93,2026-08-09T06:39:58.075864+00:00
1876-09-01,3.69,2026-08-09T06:39:58.075864+00:00
