date,value,retrieved_at
1871-01-01,12.46,2026-08-09T06:38:28.037897+00:00
1871-02-01,12.84,2026-08-09T06:38:28.037897+00:00
1871-03-01,13.03,2026-08-09T06:38:28.037897+00:00
1871-04-01,12.56,2026-08-09T06:38:28.037897+00:00
1871-05-01,12.27,2026-08-09T06:38:28.037897+00:00
1871-06-01,12.08,2026-08-09T06:38:28.037897+00:00
1871-07-01,12.08,2026-08-09T06:38:28.037897+00:00
1871-08-01,11.89,2026-08-09T06:38:28.037897+00:00
1871-09-01,12.18,2026-08-09T06:38:28.037897+00:00
1871-10-01,12.37,2026-08-09T06:38:28.037897+00:00
1871-11-01,12.37,2026-08-09T06:38:28.037897+00:00
1871-12-01,12.65,2026-08-09T06:38:28.037897+00:00
1872-01-01,12.65,2026-08-09T06:38:28.037897+00:00
1872-02-01,12.65,2026-08-09T06:38:28.037897+00:00
1872-03-01,12.84,2026-08-09T06:38:28.037897+00:00
1872-04-01,13.13,2026-08-09T06:38:28.037897+00:00
1872-05-01,13.13,2026-08-09T06:38:28.037897+00:00
1872-06-01,13.03,2026-08-09T06:38:28.037897+00:00
1872-07-01,12.84,2026-08-09T06:38:28.037897+00:00
1872-08-01,12.94,2026-08-09T06:38:28.037897+00:00
1872-09-01,13.03,2026-08-09T06:38:28.037897+00:00
1872-10-01,12.75,2026-08-09T06:38:28.037897+00:00
1872-11-01,13.13,2026-08-09T06:38:28.037897+00:00
1872-12-01,12.94,2026-08-09T06:38:28.037897+00:00
1873-01-01,12.94,2026-08-09T06:38:28.037897+00:00
1873-02-01,13.23,2026-08-09T06:38:28.037897+00:00
1873-03-01,13.23,2026-08-09T06:38:28.037897+00:00
1873-04-01,13.23,2026-08-09T06:38:28.037897+00:00
1873-05-01,12.94,2026-08-09T06:38:28.037897+00:00
1873-06-01,12.56,2026-08-09T06:38:28.037897+00:00
1873-07-01,12.56,2026-08-09T06:38:28.037897+00:00
1873-08-01,12.56,2026-08-09T06:38:28.037897+00:00
1873-09-01,12.56,2026-08-09T06:38:28.037897+00:00
1873-10-01,12.27,2026-08-09T06:38:28.037897+00:00
1873-11-01,11.89,2026-08-09T06:38:28.037897+00:00
1873-12-01,12.18,2026-08-09T06:38:28.037897+00:00
1874-01-01,12.37,2026-08-09T06:38:28.037897+00:00
1874-02-01,12.37,2026-08-09T06:38:28.037897+00:00
1874-03-01,12.37,2026-08-09T06:38:28.037897+00:00
1874-04-01,12.18,2026-08-09T06:38:28.037897+00:00
1874-05-01,12.08,2026-08-09T06:38:28.037897+00:00
1874-06-01,11.8,2026-08-09T06:38:28.037897+00:00
1874-07-01,11.89,2026-08-09T06:38:28.037897+00:00
1874-08-01,11.8,2026-08-09T06:38:28.037897+00:00
1874-09-01,11.8,2026-08-09T06:38:28.037897+00:00
1874-10-01,11.61,2026-08-09T06:38:28.037897+00:00
1874-11-01,11.51,2026-08-09T06:38:28.037897+00:00
1874-12-01,11.51,2026-08-09T06:38:28.037897+00:00
1875-01-01,11.51,2026-08-09T06:38:28.037897+00:00
1875-02-01,11.51,2026-08-09T06:38:28.037897+00:00
1875-03-01,11.51,2026-08-09T06:38:28.037897+00:00
1875-04-01,11.61,2026-08-09T06:38:28.037897+00:00
1875-05-01,11.32,2026-08-09T06:38:28.037897+00:00
1875-06-01,11.13,2026-08-09T06:38:28.037897+00:00
1875-07-01,11.13,2026-08-09T06:38:28.037897+00:00
1875-08-01,11.23,2026-08-09T06:38:28.037897+00:00
1875-09-01,11.13,2026-08-09T06:38:28.037897+00:00
1875-10-01,11.13,2026-08-09T06:38:28.037897+00:00
1875-11-01,11.04,2026-08-09T06:38:28.037897+00:00
1875-12-01,10.94,2026-08-09T06:38:28.037897+00:00
1876-01-01,10.85,2026-08-09T06:38:28.037897+00:00
1876-02-01,10.85,2026-08-09T06:38:28.037897+00:00
1876-03-01,10.85,2026-08-09T06:38:28.037897+00:00
1876-04-01,10.75,2026-08-09T06:38:28.037897+00:00
1876-05-01,10.37,2026-08-09T06:38:28.037897+00:00
1876-06-01,10.09,2026-08-09T06:38:28.037897+00:00
1876-07-01,10.09,2026-08-09T06:38:28.037897+00:00
1876-08-01,10.18,2026-08-09T06:38:28.037897+00:00
1876-09-01,10.28,2026-08-09T06:38:28.037897+00:00
1876-10-01,10.47,2026-08-09T06:38:28.037897+00:00
1876-11-01,10.56,2026-08-09T06:38:28.037897+00:00
1876-12-01,10.75,2026-08-09T06:38:28.037897+00:00
1877-01-01,10.94,2026-08-09T06:38:28.037897+00:00
1877-02-01,10.66,2026-08-09T06:38:28.037897+00:00
1877-03-01,10.18,2026-08-09T06:38:28.037897+00:00
1877-04-01,10.47,2026-08-09T06:38:28.037897+00:00
1877-05-01,10.66,2026-08-09T06:38:28.037897+00:00
1877-06-01,10.09,2026-08-09T06:38:28.037897+00:00
1877-07-01,10.18,2026-08-09T06:38:28.037897+00:00
1877-08-01,9.8,2026-08-09T06:38:28.037897+00:00
1877-09-01,9.7,2026-08-09T06:38:28.037897+00:00
1877-10-01,9.7,2026-08-09T06:38:28.037897+00:00
1877-11-01,9.51,2026-08-09T06:38:28.037897+00:00
1877-12-01,9.51,2026-08-09T06:38:28.037897+00:00
1878-01-01,9.23,2026-08-09T06:38:28.037897+00:00
1878-02-01,9.13,2026-08-09T06:38:28.037897+00:00
1878-03-01,8.94,2026-08-09T06:38:28.037897+00:00
1878-04-01,8.85,2026-08-09T06:38:28.037897+00:00
1878-05-01,8.56,2026-08-09T06:38:28.037897+00:00
1878-06-01,8.37,2026-08-09T06:38:28.037897+00:00
1878-07-01,8.47,2026-08-09T06:38:28.037897+00:00
1878-08-01,8.56,2026-08-09T06:38:28.037897+00:00
1878-09-01,8.56,2026-08-09T06:38:28.037897+00:00
1878-10-01,8.47,2026-08-09T06:38:28.037897+00:00
1878-11-01,8.37,2026-08-09T06:38:28.037897+00:00
1878-12-01,8.18,2026-08-09T06:38:28.037897+00:00
1879-01-01,8.28,2026-08-09T06:38:28.037897+00:00
1879-02-01,8.37,2026-08-09T06:38:28.037897+00:00
1879-03-01,8.28,2026-08-09T06:38:28.037897+00:00
1879-04-01,8.18,2026-08-09T06:38:28.037897+00:00
1879-05-01,8.18,2026-08-09T06:38:28.037897+00:00
1879-06-01,8.09,2026-08-09T06:38:28.037897+00:00
1879-07-01,8.18,2026-08-09T06:38:28.037897+00:00
1879-08-01,8.18,2026-08-09T06:38:28.037897+00:00
1879-09-01,8.47,2026-08-09T06:38:28.037897+00:00
1879-10-01,8.94,2026-08-09T06:38:28.037897+00:00
1879-11-01,9.42,2026-08-09T06:38:28.037897+00:00
1879-12-01,9.7,2026-08-09T06:38:28.037897+00:00
1880-01-01,9.99,2026-08-09T06:38:28.037897+00:00
1880-02-01,9.99,2026-08-09T06:38:28.037897+00:00
1880-03-01,10.09,2026-08-09T06:38:28.037897+00:00
1880-04-01,9.7,2026-08-09T06:38:28.037897+00:00
1880-05-01,9.42,2026-08-09T06:38:28.037897+00:00
1880-06-01,9.23,2026-08-09T06:38:28.037897+00:00
1880-07-01,9.23,2026-08-09T06:38:28.037897+00:00
1880-08-01,9.23,2026-08-09T06:38:28.037897+00:00
1880-09-01,9.32,2026-08-09T06:38:28.037897+00:00
1880-10-01,9.32,2026-08-09T06:38:28.037897+00:00
1880-11-01,9.42,2026-08-09T06:38:28.037897+00:00
1880-12-01,9.51,2026-08-09T06:38:28.037897+00:00
1881-01-01,9.42,2026-08-09T06:38:28.037897+00:00
1881-02-01,9.51,2026-08-09T06:38:28.037897+00:00
1881-03-01,9.51,2026-08-09T06:38:28.037897+00:00
1881-04-01,9.61,2026-08-09T06:38:28.037897+00:00
1881-05-01,9.51,2026-08-09T06:38:28.037897+00:00
1881-06-01,9.51,2026-08-09T06:38:28.037897+00:00
1881-07-01,9.61,2026-08-09T06:38:28.037897+00:00
1881-08-01,9.8,2026-08-09T06:38:28.037897+00:00
1881-09-01,10.18,2026-08-09T06:38:28.037897+00:00
1881-10-01,10.28,2026-08-09T06:38:28.037897+00:00
1881-11-01,10.18,2026-08-09T06:38:28.037897+00:00
