symbol,name,exchange,sector,industry,mcap,price,vol
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,Real Estate,Other Consumer Services,58892750.0,0.8602,5816
AAL,American Airlines Group Inc. Common Stock,NASDAQ,Consumer Discretionary,Air Freight/Delivery Services,10551801019.0,15.94,35000350
AAME,Atlantic American Corporation Common Stock,NASDAQ,Finance,Life Insurance,31207759.0,1.53,13079
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,Technology,Semiconductors,10883326488.0,135.63,24057068
AAON,AAON Inc. Common Stock,NASDAQ,Industrials,Industrial Machinery/Components,7767687459.0,94.83,1296021
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,1771880454.0,18.985,8693
AAPL,Apple Inc. Common Stock,NASDAQ,Technology,Computer Manufacturing,4572794419400.0,313.33,34406569
AARD,Aardvark Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,172884848.0,7.9,74653
ABAT,American Battery Technology Company Common Stock,NASDAQ,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),356041607.0,2.61,4995462
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,2042032137.0,6.93,6464785
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,412644843.0,7.24,1396776
ABLV,Able View Global Inc. Class B Ordinary Shares,NASDAQ,Consumer Discretionary,Other Consumer Services,40549126.0,0.821,31060
ABNB,Airbnb Inc. Class A Common Stock,NASDAQ,Consumer Discretionary,Diversified Commercial Services,107323665639.0,178.07,15891031
ABOS,Acumen Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),176235295.0,2.44,256311
ABSI,Absci Corporation Common Stock,NASDAQ,Health Care,Biotechnology: Commercial Physical & Biological Resarch,1392232150.0,8.93,2188768
ABTC,American Bitcoin Corp. Class A Common Stock,NASDAQ,Finance,Finance: Consumer Services,471143543.0,6.47,1178819
ABTS,Abits Group Inc Ordinary Shares,NASDAQ,Finance,Finance: Consumer Services,4086797.0,1.38,22776
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,914599597.0,4.63,796127
ABVC,ABVC BioPharma Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,27085452.0,1.02,65903
ABVX,Abivax SA American Depositary Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,11272357468.0,130.93,1094334
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,5033044181.0,29.21,1782697
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ,Health Care, Medicinal Chemicals and Botanical Products ,185251203.0,2.99,947774
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,NASDAQ,Consumer Discretionary,Professional Services,40171000.0,2.89,17271
ACDC,ProFrac Holding Corp. Class A Common Stock,NASDAQ,Energy,Oilfield Services/Equipment,781577653.0,4.32,1479865
ACET,Adicet Bio Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,74704690.0,7.98,80406
ACFN,Acorn Energy Inc. Common Stock,NASDAQ,Consumer Discretionary,Military/Government/Technical,47656902.0,19.0,130785
ACGL,Arch Capital Group Ltd. Common Stock,NASDAQ,Finance,Property-Casualty Insurers,33604244328.0,98.48,1125394
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,NASDAQ,Finance,Property-Casualty Insurers,5551797880.0,16.27,26369
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,Finance,Property-Casualty Insurers,6599337174.0,19.3399,9474
ACHC,Acadia Healthcare Company Inc. Common Stock,NASDAQ,Health Care,Medical Specialities,2935451671.0,31.53,1246183
ACHV,Achieve Life Sciences Inc. Common Shares,NASDAQ,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,682682729.0,6.65,712571
ACIC,American Coastal Insurance Corporation Common Stock,NASDAQ,Finance,Property-Casualty Insurers,505964651.0,10.44,380654
ACIU,AC Immune SA Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,240185632.0,2.36,76957
ACIW,ACI Worldwide Inc. Common Stock,NASDAQ,Technology,Computer Software: Prepackaged Software,5456176462.0,53.67,2454311
ACLS,Axcelis Technologies Inc. Common Stock,NASDAQ,Technology,Industrial Machinery/Components,4311043732.0,140.27,464182
ACMR,ACM Research Inc. Class A Common Stock,NASDAQ,Technology,Industrial Machinery/Components,5549644274.0,83.8,1426586
ACNB,ACNB Corporation Common Stock,NASDAQ,Finance,Major Banks,657451393.0,64.38,44613
ACNT,Ascent Industries Co. Common Stock,NASDAQ,Industrials,Major Chemicals,140637561.0,15.61,41149
ACON,Aclarion Inc. Common Stock,NASDAQ,Health Care,Medical Specialities,5638553.0,2.29,58234
ACRS,Aclaris Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,825412349.0,5.91,2388104
ACRV,Acrivon Therapeutics Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,74046991.0,1.73,302156
ACT,Enact Holdings Inc. Common Stock,NASDAQ,Finance,Specialty Insurers,6834852475.0,48.96,336851
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,NASDAQ,Miscellaneous,Multi-Sector Companies,465559616.0,4.82,275548
ACTU,Actuate Therapeutics Inc. Common stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,26438066.0,1.105,203485
ACXP,Acurx Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,6618517.0,1.54,113319
ADAG,Adagene Inc. American Depositary Shares,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,271472051.0,4.11,285416
ADAM,Adamas Trust Inc. Common Stock,NASDAQ,Real Estate,Real Estate Investment Trusts,882619499.0,9.82,781271
ADAMG,Adamas Trust Inc. 9.125% Senior Notes Due 2030,NASDAQ,Real Estate,Real Estate Investment Trusts,0.0,25.22,10039
ADAMH,Adamas Trust Inc. 9.875% Senior Notes Due 2030,NASDAQ,Real Estate,Real Estate Investment Trusts,0.0,25.42,14216
ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,NASDAQ,Real Estate,Real Estate Investment Trusts,2299812210.0,25.39,811
ADAML,Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,NASDAQ,Real Estate,Real Estate Investment Trusts,2226771698.0,24.775,16709
ADAMM,Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,Real Estate Investment Trusts,2271262192.0,25.27,25782
