Symbol,GICS Sector,GICS Sub-Industry
AAL,Consumer Discretionary,Air Freight/Delivery Services
AAOI,Technology,Semiconductors
AAON,Industrials,Industrial Machinery/Components
AAPL,Technology,Computer Manufacturing
ABCL,Health Care,Biotechnology: Pharmaceutical Preparations
ABEO,Health Care,Biotechnology: Pharmaceutical Preparations
ABNB,Consumer Discretionary,Diversified Commercial Services
ABSI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABTC,Finance,Finance: Consumer Services
ABVX,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Finance,Property-Casualty Insurers
ACHC,Health Care,Medical Specialities
ACHV,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIC,Finance,Property-Casualty Insurers
ACIW,Technology,Computer Software: Prepackaged Software
ACLS,Technology,Industrial Machinery/Components
ACMR,Technology,Industrial Machinery/Components
ACRS,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Finance,Specialty Insurers
ADAM,Real Estate,Real Estate Investment Trusts
ADBE,Technology,Computer Software: Prepackaged Software
ADEA,Telecommunications,Cable & Other Pay Television Services
ADI,Technology,Semiconductors
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Technology,EDP Services
ADPT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSK,Technology,Computer Software: Prepackaged Software
ADTN,Utilities,Telecommunications Equipment
ADUR,Industrials,Major Chemicals
ADUS,Health Care,Medical/Nursing Services
ADV,Consumer Discretionary,Business Services
AEBI,Industrials,Auto Manufacturing
AEHR,Industrials,Electrical Products
AEIS,Technology,Industrial Machinery/Components
AEP,Utilities,Electric Utilities: Central
AEVA,Consumer Discretionary,Auto Parts:O.E.M.
AFRM,Finance,Finance: Consumer Services
AFYA,Real Estate,Other Consumer Services
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGIO,Health Care,Biotechnology: Pharmaceutical Preparations
AGMB,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGNC,Real Estate,Real Estate Investment Trusts
AGYS,Technology,EDP Services
AHCO,Health Care,Medical/Nursing Services
AIBZ,Consumer Discretionary,Services-Misc. Amusement & Recreation
AIP,Technology,Semiconductors
AIRJ,Industrials,Industrial Machinery/Components
AIRS,Health Care,Medical/Nursing Services
AKAM,Consumer Discretionary,Business Services
AKTS,Health Care,Biotechnology: Pharmaceutical Preparations
ALAB,Technology,Semiconductors
ALGM,Technology,Semiconductors
ALGN,Health Care,Industrial Specialties
ALGT,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Health Care,Medical Specialities
ALKS,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Technology,Computer Software: Prepackaged Software
ALLT,Telecommunications,Computer Communications Equipment
ALM,Basic Materials,Other Metals and Minerals
ALMR,Industrials,Biotechnology: Laboratory Analytical Instruments
ALMS,Health Care,Biotechnology: Pharmaceutical Preparations
ALMU,Technology,Semiconductors
ALNT,Industrials,Electrical Products
ALNY,Health Care,Biotechnology: Pharmaceutical Preparations
ALOY,Basic Materials,Metal Mining
ALRM,Technology,Computer Software: Prepackaged Software
ALRS,Finance,Major Banks
AMAL,Finance,Major Banks
AMAT,Technology,Semiconductors
AMBA,Technology,Semiconductors
AMCX,Telecommunications,Cable & Other Pay Television Services
AMD,Technology,Semiconductors
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMKR,Technology,Semiconductors
AMLX,Health Care,Biotechnology: Pharmaceutical Preparations
AMPH,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Technology,Computer Software: Prepackaged Software
AMRX,Health Care,Biotechnology: Pharmaceutical Preparations
AMSC,Consumer Discretionary,Metal Fabrications
AMSF,Finance,Property-Casualty Insurers
AMZN,Consumer Discretionary,Catalog/Specialty Distribution
ANAB,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Industrials,Farming/Seeds/Milling
ANGO,Health Care,Medical/Dental Instruments
ANIP,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Health Care,Biotechnology: Pharmaceutical Preparations
ANNX,Health Care,Biotechnology: Pharmaceutical Preparations
AOSL,Technology,Semiconductors
APA,Energy,Oil & Gas Production
APEI,Real Estate,Other Consumer Services
APGE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APLD,Technology,EDP Services
APMD,Health Care,Biotechnology: Pharmaceutical Preparations
APOG,Consumer Discretionary,Auto Parts:O.E.M.
APP,Technology,Computer Software: Programming Data Processing
