combo,model,n_features,ic,nw_t,net_sharpe,breakeven_bps
VOLA+LIQ,lightgbm,8,0.0154,2.15,-0.23,8.4
LIQ,ridge,3,0.0107,1.2,-0.4,1.8
MOM+LIQ,lightgbm,12,0.0106,1.03,0.02,10.2
MOM+REV+LIQ,lightgbm,17,0.0105,1.06,0.08,10.7
REV+VOLA,lightgbm,10,0.0078,0.86,-1.39,-0.2
VOLA,lightgbm,5,0.0077,0.97,-1.46,-0.3
VOLA+LIQ,ridge,8,0.006,0.69,0.04,10.6
MOM,lightgbm,9,0.006,0.5,-0.07,9.3
REV,lightgbm,5,0.0053,0.56,-2.22,0.3
REV+VOLA+LIQ,ridge,13,0.0044,0.48,-0.78,4.4
MOM+VOLA,lightgbm,14,0.0043,0.38,-0.42,5.5
MOM+REV,lightgbm,14,0.0042,0.38,-0.23,8.0
MOM+REV+VOLA+LIQ,lightgbm,22,0.0042,0.43,-0.16,8.3
REV+LIQ,ridge,8,0.0036,0.38,-1.0,1.3
MOM+VOLA+LIQ,ridge,17,0.0029,0.26,-1.18,-6.3
MOM+LIQ,ridge,12,0.0012,0.1,-1.14,-8.9
MOM+REV+VOLA+LIQ,ridge,22,0.0005,0.05,-1.35,-7.0
MOM+REV+VOLA,lightgbm,19,0.0003,0.02,-0.63,3.3
LIQ,lightgbm,3,0.0002,0.03,-1.5,-1.0
MOM+VOLA+LIQ,lightgbm,17,-0.0003,-0.03,0.08,10.8
MOM+REV+LIQ,ridge,17,-0.0013,-0.11,-1.31,-7.7
MOM+VOLA,ridge,14,-0.0021,-0.17,-1.16,-5.7
REV+VOLA,ridge,10,-0.0023,-0.22,-1.31,1.7
VOLA,ridge,5,-0.0037,-0.36,-0.49,4.9
REV+VOLA+LIQ,lightgbm,13,-0.0043,-0.64,-1.97,-2.6
MOM,ridge,9,-0.0045,-0.36,-1.56,-10.1
MOM+REV+VOLA,ridge,19,-0.0047,-0.39,-1.28,-5.3
REV,ridge,5,-0.0048,-0.47,-1.58,1.2
MOM+REV,ridge,14,-0.0065,-0.55,-1.46,-6.2
REV+LIQ,lightgbm,8,-0.0106,-1.41,-2.26,-3.0
